Date,Beras,Beras Kualitas Bawah I (kg),Beras Kualitas Bawah II (kg),Beras Kualitas Medium I (kg),Beras Kualitas Medium II (kg),Beras Kualitas Super I (kg),Beras Kualitas Super II (kg),Daging Ayam,Daging Ayam Ras Segar (kg),Daging Sapi,Daging Sapi Kualitas 1 (kg),Daging Sapi Kualitas 2 (kg),Telur Ayam,Telur Ayam Ras Segar (kg),Bawang Merah,Bawang Merah Ukuran Sedang (kg),Bawang Putih,Bawang Putih Ukuran Sedang (kg),Cabai Merah,Cabai Merah Besar (kg),Cabai Merah Keriting  (kg),Cabai Rawit,Cabai Rawit Hijau (kg),Cabai Rawit Merah (kg),Minyak Goreng,Minyak Goreng Curah (kg),Minyak Goreng Kemasan Bermerk 1 (kg),Minyak Goreng Kemasan Bermerk 2 (kg),Gula Pasir,Gula Pasir Kualitas Premium (kg),Gula Pasir Lokal (kg)
02/09/2019,11700,10650,10250,11800,11550,13050,12600,30450,30450,117900,121500,112750,24700,24700,24850,24850,32850,32850,53100,48850,56250,58050,50450,66700,13200,11350,14400,13600,13750,14900,12900
03/09/2019,11700,10650,10250,11800,11550,13050,12600,30300,30300,118350,121850,112750,24700,24700,24800,24800,32950,32950,52150,47750,55750,58900,50750,67150,13200,11350,14400,13650,13750,14900,12900
04/09/2019,11700,10650,10250,11800,11600,13050,12600,30100,30100,118350,121850,112750,24650,24650,24550,24550,32750,32750,51900,47150,55400,59500,51150,67750,13200,11350,14400,13650,13700,14900,12900
05/09/2019,11700,10650,10250,11800,11550,13050,12600,30100,30100,118350,121850,112750,24600,24600,24300,24300,32600,32600,51350,46950,54650,59600,51150,68000,13200,11350,14400,13650,13700,14900,12850
06/09/2019,11700,10650,10250,11800,11550,13050,12600,30050,30050,118350,121850,112700,24600,24600,24250,24250,32550,32550,50650,46400,53900,60000,50950,68950,13200,11350,14400,13650,13700,14900,12850
09/09/2019,11700,10650,10250,11800,11600,13050,12600,30400,30400,118200,121800,112500,24450,24450,24050,24050,32600,32600,49300,45700,52000,60850,51000,70600,13200,11350,14400,13600,13700,14900,12850
10/09/2019,11700,10650,10250,11800,11600,13050,12600,30550,30550,118200,121800,112500,24400,24400,24050,24050,32600,32600,49000,45550,51600,61300,51350,71400,13200,11300,14400,13600,13700,14900,12850
11/09/2019,11700,10650,10250,11800,11550,13050,12600,30900,30900,118100,121600,112500,24350,24350,24050,24050,32500,32500,48400,45400,50900,60150,50850,70200,13200,11300,14400,13600,13700,14900,12850
12/09/2019,11700,10650,10250,11800,11550,13050,12600,31050,31050,118100,121600,112500,24350,24350,23900,23900,32400,32400,47500,44700,49950,60400,51350,69950,13200,11300,14400,13600,13700,14900,12850
13/09/2019,11700,10650,10250,11800,11550,13050,12600,31450,31450,118200,121800,112500,24250,24250,23750,23750,32400,32400,47050,44600,49400,60000,50800,69800,13200,11300,14400,13600,13700,14900,12850
